dim,deg,parallel_depth,max_cpu,avg_time
2,3,1,28,0.01785130500793457
2,3,1,30,0.015986299514770506
2,3,1,32,0.01696944236755371
2,3,1,34,0.016846632957458495
2,3,1,36,0.014302921295166016
2,3,1,38,0.015544795989990234
2,3,1,40,0.015698552131652832
2,3,2,2,0.015969371795654295
2,3,2,4,0.017707276344299316
2,3,2,6,0.01773192882537842
2,3,2,8,0.01845114231109619
2,3,2,10,0.01618509292602539
2,3,2,12,0.017619776725769042
2,3,2,14,0.018947696685791014
2,3,2,16,0.017006707191467286
2,3,2,18,0.01803760528564453
2,3,2,20,0.017633891105651854
2,3,2,22,0.01766526699066162
2,3,2,24,0.017646098136901857
2,3,2,26,0.017410802841186523
2,3,2,28,0.01764369010925293
2,3,2,30,0.018017005920410157
2,3,2,32,0.01459643840789795
2,3,2,34,0.017992591857910155
2,3,2,36,0.01743927001953125
2,3,2,38,0.017390990257263185
2,3,2,40,0.016573357582092284
2,3,3,2,0.015263652801513672
2,3,3,4,0.017174625396728517
2,3,3,6,0.018985342979431153
2,3,3,8,0.01987268924713135
2,3,3,10,0.01924276351928711
2,3,3,12,0.017982912063598634
2,3,3,14,0.015622138977050781
2,3,3,16,0.01572883129119873
2,3,3,18,0.01677725315093994
2,3,3,20,0.017298388481140136
2,3,3,22,0.018868231773376466
2,3,3,24,0.017444682121276856
2,3,3,26,0.0171069860458374
2,3,3,28,0.018423748016357423
2,3,3,30,0.01652681827545166
2,3,3,32,0.016494393348693848
2,3,3,34,0.021688008308410646
2,3,3,36,0.017000794410705566
2,3,3,38,0.01793208122253418
2,3,3,40,0.01946136951446533
2,3,4,2,0.01626431941986084
2,3,4,4,0.017537879943847656
2,3,4,6,0.015980124473571777
2,3,4,8,0.014901351928710938
2,3,4,10,0.018875646591186523
2,3,4,12,0.017412400245666503
2,3,4,14,0.017249059677124024
2,3,4,16,0.016793251037597656
2,3,4,18,0.018871831893920898
2,3,4,20,0.019292497634887697
2,3,4,22,0.016818141937255858
2,3,4,24,0.01733555793762207
2,3,4,26,0.017594027519226074
2,3,4,28,0.020463895797729493
2,3,4,30,0.018080472946166992
2,3,4,32,0.017391562461853027
2,3,4,34,0.01888458728790283
2,3,4,36,0.017799949645996092
2,3,4,38,0.017756319046020506
2,3,4,40,0.0157804012298584
2,3,5,2,0.015301871299743652
2,3,5,4,0.017782759666442872
2,3,5,6,0.01619687080383301
2,3,5,8,0.01778285503387451
2,3,5,10,0.016918587684631347
2,3,5,12,0.017156481742858887
2,3,5,14,0.02032153606414795
2,3,5,16,0.01906266212463379
2,3,5,18,0.016144776344299318
2,3,5,20,0.01757857799530029
2,3,5,22,0.017950224876403808
2,3,5,24,0.016491150856018065
2,3,5,26,0.017840313911437988
2,3,5,28,0.020303845405578613
2,3,5,30,0.017391419410705565
2,3,5,32,0.019415807723999024
2,3,5,34,0.017943191528320312
2,3,5,36,0.016323661804199217
2,3,5,38,0.016606521606445313
2,3,5,40,0.01715695858001709
2,3,6,2,0.015385270118713379
2,3,6,4,0.016315293312072755
2,3,6,6,0.01641800403594971
2,3,6,8,0.015894341468811034
2,3,6,10,0.016222548484802247
2,3,6,12,0.01706380844116211
2,3,6,14,0.01735227108001709
2,3,6,16,0.019036197662353517
2,3,6,18,0.014957594871520995
2,3,6,20,0.01939229965209961
2,3,6,22,0.014461994171142578
2,3,6,24,0.01496422290802002
2,3,6,26,0.017615365982055663
2,3,6,28,0.01706855297088623
2,3,6,30,0.01678316593170166
2,3,6,32,0.017252206802368164
2,3,6,34,0.01780085563659668
2,3,6,36,0.018309903144836426
2,3,6,38,0.016882157325744628
2,3,6,40,0.016205263137817384
2,3,7,2,0.013868355751037597
2,3,7,4,0.015173912048339844
2,3,7,6,0.017182803153991698
2,3,7,8,0.019348978996276855
2,3,7,10,0.018781590461730956
2,3,7,12,0.017381000518798827
2,3,7,14,0.01829831600189209
2,3,7,16,0.01732215881347656
2,3,7,18,0.018493843078613282
2,3,7,20,0.018183374404907228
2,3,7,22,0.016371822357177733
2,3,7,24,0.016192913055419922
2,3,7,26,0.016704511642456055
2,3,7,28,0.019272851943969726
2,3,7,30,0.016959023475646973
2,3,7,32,0.017475128173828125
2,3,7,34,0.01647815704345703
2,3,7,36,0.016202378273010253
2,3,7,38,0.016028404235839844
2,3,7,40,0.01690673828125
2,3,8,2,0.01647953987121582
2,3,8,4,0.016104745864868163
2,3,8,6,0.017167019844055175
2,3,8,8,0.017348098754882812
2,3,8,10,0.015096378326416016
2,3,8,12,0.016146039962768553
2,3,8,14,0.018210792541503908
2,3,8,16,0.017203354835510255
2,3,8,18,0.017270827293395997
2,3,8,20,0.016807818412780763
2,3,8,22,0.015556073188781739
2,3,8,24,0.01565420627593994
2,3,8,26,0.019103169441223145
2,3,8,28,0.016318225860595705
2,3,8,30,0.018355393409729005
2,3,8,32,0.0164309024810791
2,3,8,34,0.017566227912902833
2,3,8,36,0.01614079475402832
2,3,8,38,0.0172652006149292
2,3,8,40,0.017362022399902345
2,4,0,1,0.012602996826171876
2,4,1,2,0.020488405227661134
2,4,1,4,0.02526834011077881
2,4,1,6,0.027936601638793947
2,4,1,8,0.026136016845703124
2,4,1,10,0.023398947715759278
2,4,1,12,0.02489161491394043
2,4,1,14,0.024883031845092773
2,4,1,16,0.024148154258728027
2,4,1,18,0.025084972381591797
2,4,1,20,0.027131819725036622
2,4,1,22,0.02421121597290039
2,4,1,24,0.022154641151428223
2,4,1,26,0.023831939697265624
2,4,1,28,0.02606358528137207
2,4,1,30,0.02546391487121582
2,4,1,32,0.026276588439941406
2,4,1,34,0.024066638946533204
2,4,1,36,0.024009299278259278
2,4,1,38,0.024345827102661134
2,4,1,40,0.02519063949584961
2,4,2,2,0.019878268241882324
2,4,2,4,0.023358869552612304
2,4,2,6,0.024745893478393555
2,4,2,8,0.02736058235168457
2,4,2,10,0.02522268295288086
2,4,2,12,0.027119874954223633
2,4,2,14,0.027264213562011717
2,4,2,16,0.026999855041503908
2,4,2,18,0.024599027633666993
2,4,2,20,0.02401585578918457
2,4,2,22,0.023668360710144044
2,4,2,24,0.026104450225830078
2,4,2,26,0.024864745140075684
2,4,2,28,0.0251875638961792
2,4,2,30,0.02501213550567627
2,4,2,32,0.026671648025512695
2,4,2,34,0.02679605484008789
2,4,2,36,0.027442026138305663
2,4,2,38,0.02726268768310547
2,4,2,40,0.026607728004455565
2,4,3,2,0.022142958641052247
2,4,3,4,0.023639535903930663
2,4,3,6,0.025083136558532716
2,4,3,8,0.028704333305358886
2,4,3,10,0.026976370811462404
2,4,3,12,0.02985193729400635
